"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Mikal Bridges","NYK",82,3036,306,745,173,133,113,53,7,50,83
"Josh Hart","NYK",77,2897,452,1093,263,189,179,62,22,59,130
"Anthony Edwards","MIN",79,2871,359,888,189,170,131,51,7,62,108
"Devin Booker","PHX",75,2795,529,1352,235,294,119,84,32,117,177
"James Harden","LAC",79,2789,687,1570,491,196,287,183,21,70,126
"DeMar DeRozan","SAC",77,2768,342,863,163,179,90,59,14,59,120
"Trae Young","ATL",76,2739,880,2031,609,271,438,150,21,103,168
"Tyler Herro","MIA",77,2725,424,1046,226,198,141,77,8,73,125
"OG Anunoby","NYK",74,2706,164,392,100,64,64,32,4,25,39
"Jalen Green","HOU",82,2697,282,669,177,105,89,59,29,19,86
"Christian Braun","DEN",79,2675,205,482,133,72,79,44,10,26,46
"Bam Adebayo","MIA",78,2674,337,842,169,168,100,56,13,34,134
"Ivica Zubac","LAC",80,2624,214,511,131,83,64,44,23,13,70
"Jayson Tatum","BOS",72,2624,431,1118,175,256,115,43,17,64,192
"Jaden McDaniels","MIN",82,2614,163,404,85,78,54,29,2,27,51
"Keegan Murray","SAC",76,2610,109,264,63,46,31,20,12,17,29
"Zach LaVine","SAC",74,2603,310,740,190,120,94,72,24,40,80
"Shai Gilgeous-Alexander","OKC",76,2598,485,1230,225,260,126,83,16,73,187
"Michael Porter Jr.","DEN",77,2593,165,384,111,54,74,33,4,12,42
"Derrick White","BOS",76,2574,361,880,203,158,134,54,15,40,118
"Dyson Daniels","ATL",76,2571,332,793,203,129,120,73,10,52,77
"Nikola Jokić","DEN",70,2571,716,1668,480,236,352,90,38,74,162
"Austin Reaves","LAL",73,2550,420,996,264,156,178,64,22,55,101
"Toumani Camara","POR",78,2548,175,438,87,88,63,16,8,23,65
"Pascal Siakam","IND",78,2548,263,635,154,109,90,51,13,21,88
"Brook Lopez","MIL",80,2546,143,351,78,65,51,15,12,14,51
"Karl-Anthony Towns","NYK",72,2517,220,489,171,49,124,39,8,22,27
"Bub Carrington","WAS",82,2458,364,884,208,156,125,67,16,35,121
"Cade Cunningham","DET",70,2452,638,1511,403,235,284,106,13,60,175
"Tyrese Haliburton","IND",73,2451,673,1614,405,268,241,123,41,94,174
"Coby White","CHI",74,2450,330,827,163,167,98,57,8,61,106
"LeBron James","LAL",70,2444,575,1348,377,198,268,89,20,72,126
"Domantas Sabonis","SAC",70,2429,423,1003,266,157,109,94,63,37,120
"Jamal Murray","DEN",67,2418,403,958,251,152,147,82,22,49,103
"Alperen Sengun","HOU",76,2394,372,915,201,171,132,43,26,40,131
"Rudy Gobert","MIN",72,2388,127,327,54,73,37,11,6,15,58
"Dillon Brooks","HOU",75,2388,128,306,78,50,51,21,6,17,33
"Tobias Harris","DET",73,2306,162,396,90,72,54,27,9,21,51
"Jalen Brunson","NYK",65,2301,475,1097,328,147,220,76,32,57,90
"Darius Garland","CLE",75,2301,506,1198,320,186,230,89,1,59,127
"Jarrett Allen","CLE",82,2296,158,382,92,66,47,35,10,16,50
"Chris Paul","SAS",82,2292,605,1470,345,260,238,80,27,79,181
"Anfernee Simons","POR",70,2292,336,825,183,153,132,32,19,52,101
"Giannis Antetokounmpo","MIL",67,2289,433,1124,175,258,118,35,22,90,168
"Malik Beasley","DET",82,2283,139,332,85,54,56,27,2,15,39
"Kentavious Caldwell-Pope","ORL",77,2279,136,332,76,60,52,19,5,29,31
"Nikola Vučević","CHI",73,2278,256,648,120,136,85,22,13,35,101
"Payton Pritchard","BOS",80,2271,279,690,147,132,95,39,13,42,90
"Kevin Durant","PHX",62,2265,263,625,164,99,94,61,9,46,53
"Stephen Curry","GSW",70,2252,421,975,288,133,203,79,6,54,79
"Shaedon Sharpe","POR",72,2252,198,495,99,99,71,20,8,27,72
"De'Aaron Fox","SAS",62,2241,392,945,231,161,153,55,23,43,118
"Jalen Williams","OKC",69,2237,356,874,194,162,117,61,16,45,117
"Donovan Mitchell","CLE",71,2232,354,887,175,179,131,40,4,76,103
"Harrison Barnes","SAS",82,2228,136,337,71,65,45,14,12,15,50
"Julius Randle","MIN",69,2226,323,821,148,175,102,37,9,64,111
"Amen Thompson","HOU",69,2225,265,661,134,131,82,39,13,37,94
"Jaren Jackson Jr.","MEM",74,2207,148,378,66,82,33,26,7,20,62
"Desmond Bane","MEM",69,2205,369,899,208,161,112,91,5,47,114
"Naz Reid","MIN",80,2200,181,458,85,96,56,24,5,44,52
"Tyus Jones","PHX",81,2174,429,1072,215,214,93,89,33,58,156
"Myles Turner","IND",72,2174,111,251,82,29,50,24,8,8,21
"Evan Mobley","CLE",71,2167,226,583,95,131,58,32,5,40,91
"Taurean Prince","MIL",80,2166,155,363,102,53,66,24,12,27,26
"Stephon Castle","SAS",81,2162,332,814,182,150,135,37,10,61,89
"Deni Avdija","POR",72,2161,281,674,169,112,123,36,10,36,76
"Jaylen Brown","BOS",63,2158,286,727,131,155,97,29,5,32,123
"Tim Hardaway Jr.","DET",77,2153,123,292,77,46,56,18,3,20,26
"Bennedict Mathurin","IND",72,2149,136,327,81,55,47,21,13,23,32
"Spencer Dinwiddie","DAL",79,2136,349,838,209,140,135,60,14,61,79
"Scottie Barnes","TOR",65,2134,378,879,255,123,180,67,8,38,85
"Max Christie","DAL",78,2127,146,360,78,68,51,17,10,23,45
"Josh Giddey","CHI",70,2117,503,1223,286,217,184,88,14,72,145
"Fred VanVleet","HOU",60,2113,333,784,215,118,132,63,20,45,73
"Keyonte George","UTA",67,2108,378,913,221,157,115,100,6,77,80
"Dennis Schröder","BKN",75,2106,404,1006,206,198,131,66,9,45,153
"Damian Lillard","MIL",58,2093,410,982,248,162,170,56,22,45,117
"Russell Westbrook","DEN",75,2092,457,1013,358,99,232,98,28,26,73
"Kelly Oubre Jr.","PHI",60,2078,108,267,57,51,45,9,3,9,42
"Luguentz Dort","OKC",71,2073,115,273,72,43,45,24,3,11,32
"Nickeil Alexander-Walker","MIN",82,2073,223,534,135,88,97,33,5,31,57
"Onyeka Okongwu","ATL",74,2064,168,402,102,66,61,38,3,20,46
"Malik Monk","SAC",65,2054,362,842,244,118,161,60,23,36,82
"Jaylen Wells","MEM",79,2043,134,318,84,50,52,28,4,15,35
"Jalen Duren","DET",78,2035,208,478,146,62,88,32,26,17,45
"Jalen Wilson","BKN",79,2031,145,377,58,87,34,20,4,24,63
"Miles Bridges","CHA",64,2029,248,590,154,94,107,41,6,24,70
"Davion Mitchell","MIA",74,2027,363,872,217,146,116,86,15,53,93
"Franz Wagner","ORL",60,2023,284,681,171,113,132,28,11,46,67
"Quentin Grimes","PHI",75,2013,228,555,129,99,92,30,7,27,72
"Jordan Poole","WAS",68,2001,302,712,194,108,131,52,11,27,81
"Devin Vassell","SAS",64,1983,183,447,102,81,67,21,14,32,49
"Draymond Green","GSW",68,1983,383,923,226,157,158,58,10,35,122
"Klay Thompson","DAL",72,1965,145,339,96,49,67,25,4,18,31
"Tyrese Maxey","PHI",52,1960,317,791,160,157,98,46,16,44,113
"Norman Powell","LAC",60,1958,125,293,82,43,55,25,2,27,16
"Yves Missi","NOP",73,1956,99,237,60,39,24,22,14,10,29
"Keon Ellis","SAC",80,1948,120,289,71,49,41,21,9,19,30
"Bilal Coulibaly","WAS",59,1948,200,509,91,109,49,33,9,26,83
"Kyle Kuzma","MIL",65,1936,152,382,74,78,45,19,10,22,56
"Julian Champagnie","SAS",82,1932,111,257,76,35,56,17,3,12,23
"Keon Johnson","BKN",79,1925,175,435,90,85,65,20,5,26,59
"Naji Marshall","DAL",69,1919,208,502,122,86,79,26,17,26,60
"Guerschon Yabusele","PHI",70,1896,148,357,87,61,62,14,11,20,41
"Jrue Holiday","BOS",62,1896,239,596,121,118,89,24,8,30,88
"Gary Trent Jr.","MIL",74,1893,87,209,52,35,27,17,8,13,22
"Josh Green","CHA",68,1887,108,262,62,46,38,18,6,12,34
"Anthony Black","ORL",78,1887,240,586,134,106,85,38,11,39,67
"Andrew Nembhard","IND",65,1881,326,776,202,124,109,67,26,30,94
"Nic Claxton","BKN",70,1880,157,380,91,66,43,34,14,15,51
"Cason Wallace","OKC",68,1876,173,428,91,82,57,28,6,24,58
"Derrick Jones Jr.","LAC",77,1873,60,145,35,25,20,10,5,6,19
"RJ Barrett","TOR",58,1869,314,740,202,112,138,53,11,43,69
"Rui Hachimura","LAL",59,1869,84,221,31,53,21,6,4,11,42
"Buddy Hield","GSW",82,1864,134,326,76,58,51,23,2,20,38
"Trey Murphy III","NOP",53,1854,188,449,115,73,58,48,9,26,47
"Zaccharie Risacher","ATL",75,1843,92,233,43,49,22,21,0,18,31
"Andrew Wiggins","MIA",60,1842,158,398,76,82,34,37,5,25,57
"Isaiah Collier","UTA",71,1839,446,1104,234,212,117,105,12,73,139
