"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","UnblockedAtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","UnblockedShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","UnblockedLongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","UnblockedCorner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","UnblockedArc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Mikal Bridges","NYK",82,3036,0.5381367532467533,0.5942519019442096,7.916805555555556,25.282251082251083,182,240,0.2028740490278952,0.7583333333333333,0.8088888888888889,0.7747252747252747,0.0625,184,357,0.30177514792899407,0.5154061624649859,0.5287356321839081,0.6086956521739131,0.025210084033613446,62,123,0.10397295012679628,0.5040650406504065,0.5040650406504065,0.6290322580645161,0,93,217,0.1834319526627219,0.42857142857142855,0.42857142857142855,0.978494623655914,0,71,246,0.20794590025359255,0.2886178861788618,0.2886178861788618,0.9295774647887324,0,71,234,0.3034188034188034,12,0
"Josh Hart","NYK",77,2897,0.5846714097496706,0.7776332899869961,4.494197292069632,25.22301587301587,245,346,0.44993498049414826,0.708092485549133,0.8006535947712419,0.5959183673469388,0.11560693641618497,56,127,0.16514954486345904,0.4409448818897638,0.49557522123893805,0.6785714285714286,0.11023622047244094,18,44,0.05721716514954486,0.4090909090909091,0.4186046511627907,0.6666666666666666,0.022727272727272728,20,66,0.0858257477243173,0.30303030303030304,0.3076923076923077,0.95,0.015151515151515152,64,186,0.24187256176853056,0.34408602150537637,0.34972677595628415,0.84375,0.016129032258064516,64,184,0.34782608695652173,2,0
"Anthony Edwards","MIN",79,2871,0.5365980612883052,0.7245657568238213,7.6604244694132335,25.947472256473493,226,357,0.22146401985111663,0.6330532212885154,0.6746268656716418,0.46017699115044247,0.06162464985994398,114,272,0.1687344913151365,0.41911764705882354,0.4634146341463415,0.2807017543859649,0.09558823529411764,61,172,0.10669975186104218,0.3546511627906977,0.3588235294117647,0.29508196721311475,0.011627906976744186,43,100,0.062034739454094295,0.43,0.44329896907216493,0.7906976744186046,0.03,277,711,0.44106699751861045,0.38959212376933894,0.3906911142454161,0.4259927797833935,0.0028129395218002813,277,701,0.39514978601997147,10,0
"Devin Booker","PHX",75,2795,0.5077161028893588,0.5295774647887324,10.101035673187571,25.93085299455535,139,201,0.1415492957746479,0.6915422885572139,0.7595628415300546,0.5179856115107914,0.08955223880597014,194,409,0.2880281690140845,0.4743276283618582,0.5173333333333333,0.32989690721649484,0.08312958435207823,138,259,0.1823943661971831,0.5328185328185329,0.549800796812749,0.4855072463768116,0.03088803088803089,26,75,0.0528169014084507,0.3466666666666667,0.3466666666666667,0.9615384615384616,0,157,476,0.3352112676056338,0.32983193277310924,0.33122362869198313,0.6751592356687898,0.004201680672268907,157,476,0.32983193277310924,0,0
"James Harden","LAC",79,2789,0.5061250775193799,0.6710424710424711,7.371451355661882,26.599251497005987,118,201,0.1552123552123552,0.5870646766169154,0.7023809523809523,0.16101694915254236,0.16417910447761194,148,356,0.2749034749034749,0.4157303370786517,0.4484848484848485,0.20270270270270271,0.07303370786516854,30,70,0.05405405405405406,0.42857142857142855,0.4411764705882353,0.1,0.02857142857142857,12,30,0.023166023166023165,0.4,0.41379310344827586,0.5833333333333334,0.03333333333333333,223,638,0.49266409266409267,0.3495297805642633,0.35118110236220473,0.35874439461883406,0.004702194357366771,223,637,0.3500784929356358,1,0
"DeMar DeRozan","SAC",77,2768,0.46278203732503886,0.2874617737003058,12.657794676806084,26.385490196078432,86,120,0.09174311926605505,0.7166666666666667,0.7747747747747747,0.47674418604651164,0.075,222,433,0.33103975535168195,0.5127020785219399,0.5606060606060606,0.2882882882882883,0.08545034642032333,232,499,0.38149847094801226,0.4649298597194389,0.47443762781186094,0.3922413793103448,0.02004008016032064,30,84,0.06422018348623854,0.35714285714285715,0.35714285714285715,1,0,54,172,0.13149847094801223,0.313953488372093,0.3157894736842105,0.8148148148148148,0.005813953488372093,54,166,0.3253012048192771,6,0
"Trae Young","ATL",76,2739,0.5132298876404494,0.6242732558139535,8.154768392370572,27.677102803738318,114,217,0.15770348837209303,0.5253456221198156,0.59375,0.3684210526315789,0.1152073732718894,190,408,0.29651162790697677,0.46568627450980393,0.5053191489361702,0.25263157894736843,0.0784313725490196,44,109,0.07921511627906977,0.4036697247706422,0.411214953271028,0.22727272727272727,0.01834862385321101,22,51,0.037063953488372096,0.43137254901960786,0.44,0.6818181818181818,0.0196078431372549,196,591,0.42950581395348836,0.3316412859560068,0.335042735042735,0.25,0.01015228426395939,195,580,0.33620689655172414,10,1
"Tyler Herro","MIA",77,2725,0.5200104105571848,0.6499636891793754,7.477086280056577,26.49252615844544,148,225,0.16339869281045752,0.6577777777777778,0.729064039408867,0.38513513513513514,0.09777777777777778,207,385,0.27959331880900506,0.5376623376623376,0.5897435897435898,0.3671497584541063,0.08831168831168831,45,97,0.07044299201161947,0.4639175257731959,0.4945054945054945,0.4,0.061855670103092786,36,80,0.05809731299927379,0.45,0.4675324675324675,0.9166666666666666,0.0375,215,590,0.42846768336964414,0.3644067796610169,0.3706896551724138,0.7255813953488373,0.01694915254237288,215,588,0.3656462585034014,2,0
"OG Anunoby","NYK",74,2706,0.5938665169660678,0.8260019550342131,4.523268206039076,24.65645514223195,252,385,0.3763440860215054,0.6545454545454545,0.7924528301886793,0.7301587301587301,0.17402597402597403,42,111,0.10850439882697947,0.3783783783783784,0.44680851063829785,0.6666666666666666,0.15315315315315314,20,67,0.06549364613880743,0.29850746268656714,0.30303030303030304,0.65,0.014925373134328358,79,213,0.20821114369501467,0.37089201877934275,0.3744075829383886,0.9493670886075949,0.009389671361502348,92,247,0.24144672531769307,0.3724696356275304,0.37551020408163266,0.9130434782608695,0.008097165991902834,92,246,0.37398373983739835,1,0
"Jalen Green","HOU",82,2697,0.5327952448545067,0.7000695894224078,7.953092783505155,26.1428139183056,222,345,0.24008350730688935,0.6434782608695652,0.7278688524590164,0.28378378378378377,0.11594202898550725,80,227,0.1579679888656924,0.3524229074889868,0.44692737430167595,0.1625,0.21145374449339208,72,204,0.1419624217118998,0.35294117647058826,0.36363636363636365,0.3055555555555556,0.029411764705882353,28,74,0.05149617258176757,0.3783783783783784,0.3835616438356164,0.6785714285714286,0.013513513513513514,206,587,0.40848990953375086,0.35093696763202725,0.3576388888888889,0.5194174757281553,0.018739352640545145,206,586,0.3515358361774744,1,0
