"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Mikal Bridges","BKN",83,2963,353,11,151,42,9,2,30,0.11569052783803326,0.16167023554603854,0.0200445434298441
"Anthony Edwards","MIN",79,2842,422,23,202,63,4,1,24,0.12240047534165181,0.18330308529945555,0.0068846815834767644
"Zach LaVine","CHI",77,2768,428,17,207,50,4,0,19,0.13621691413815365,0.20679320679320679,0.0072992700729927005
"Nikola Vucevic","CHI",82,2746,158,3,71,22,0,0,18,0.059314954051796154,0.08352941176470588,0
"Julius Randle","NYK",77,2737,531,17,242,80,4,1,50,0.15403882279273637,0.25260960334029225,0.006259780907668232
"Domantas Sabonis","SAC",79,2736,438,0,198,47,0,0,43,0.18181818181818182,0.19681908548707752,0
"Jayson Tatum","BOS",74,2732,622,33,229,50,31,2,47,0.14569160997732428,0.217680608365019,0.03932584269662921
"Spencer Dinwiddie","BKN",79,2725,330,3,157,38,4,0,21,0.13725490196078433,0.23122238586156113,0.008097165991902834
"Evan Mobley","CLE",79,2715,304,0,155,35,0,0,14,0.14526710402999063,0.16062176165803108,0
"Dejounte Murray","ATL",74,2693,190,4,82,21,11,5,9,0.0670995670995671,0.08257804632426989,0.027989821882951654
"DeMar DeRozan","CHI",74,2682,523,15,266,76,5,3,20,0.18127090301003346,0.19689119170984457,0.034722222222222224
"Scottie Barnes","TOR",77,2678,246,2,119,30,0,0,19,0.1076923076923077,0.13507377979568672,0
"Harrison Barnes","SAC",82,2662,413,14,181,31,1,0,32,0.1932059447983015,0.3078231292517007,0.002824858757062147
"Pascal Siakam","TOR",71,2652,474,1,229,52,1,1,33,0.15436241610738255,0.19035743973399832,0.003484320557491289
"CJ McCollum","NOP",75,2649,238,5,99,25,9,2,19,0.07578947368421053,0.11314285714285714,0.016363636363636365
"Franz Wagner","ORL",80,2609,322,17,137,31,1,0,33,0.1126530612244898,0.15856481481481483,0.002770083102493075
"Jalen Green","HOU",76,2602,463,32,191,40,12,3,31,0.1336405529953917,0.1997907949790795,0.021314387211367674
"Bam Adebayo","MIA",75,2598,402,0,196,37,0,0,24,0.1539670070699136,0.15543219666931007,0
"Trae Young","ATL",73,2541,639,29,214,43,12,2,103,0.14276609305289995,0.1943687556766576,0.021367521367521368
"Fred VanVleet","TOR",69,2535,283,30,98,21,7,2,30,0.08793969849246232,0.1680960548885077,0.011456628477905073
"Buddy Hield","IND",80,2482,129,27,23,6,11,1,16,0.03192488262910798,0.06084656084656084,0.01601164483260553
"RJ Barrett","NYK",73,2475,392,1,203,44,1,0,13,0.15269461077844312,0.21481481481481482,0.0025575447570332483
"Jordan Poole","GSW",82,2458,415,9,155,37,21,4,40,0.12455767869780608,0.20421607378129117,0.03211009174311927
"Josh Hart","NYK",76,2454,176,0,85,27,1,0,14,0.14853195164075994,0.20531400966183574,0.006060606060606061
"Jabari Smith Jr.","HOU",79,2451,206,6,84,14,1,0,22,0.08826583592938733,0.14711033274956217,0.002551020408163265
"Trey Murphy III","NOP",79,2448,190,31,70,22,3,0,17,0.08578143360752057,0.19943019943019943,0.006
"Darius Garland","CLE",69,2447,321,16,124,25,1,0,41,0.10170870626525631,0.15196078431372548,0.002421307506053269
"Tobias Harris","PHI",74,2436,129,6,56,16,2,0,10,0.06538895152198422,0.09982174688057041,0.006134969325153374
"De'Aaron Fox","SAC",73,2435,440,6,205,52,6,0,31,0.14103425117528542,0.18352730528200537,0.013440860215053764
"Donovan Mitchell","CLE",68,2432,368,25,125,40,18,3,43,0.094,0.1467136150234742,0.024691358024691357
"Paolo Banchero","ORL",72,2430,534,3,254,53,4,0,32,0.1944235116804823,0.24470134874759153,0.01384083044982699
"Jaden McDaniels","MIN",79,2416,144,1,74,23,0,0,9,0.09647979139504563,0.14859437751004015,0
"Shai Gilgeous-Alexander","OKC",68,2416,739,37,321,57,1,0,58,0.19562575941676794,0.2173324306025728,0.005917159763313609
