"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Mikal Bridges","PHX",82,2854,576,119.06468680662228,109.0289608177172,1070,0.20103092783505155,0.46938775510204084,0.2897196261682243,0.08888888888888889,36,33,3,15,16,2,2,1,23,0.6388888888888888,96,16,80,0
"Miles Bridges","CHA",80,2837,142,116.56159482024195,114.20047732696898,1432,0.20408163265306123,0.33121019108280253,0.35,0.2,67,62,5,44,17,1,3,2,41,0.6119402985074627,74,27,47,7
"DeMar DeRozan","CHI",76,2743,77,115.94696290987278,114.69058295964126,1988,0.24096385542168675,0.41904761904761906,0.25980392156862747,0.19943019943019943,24,24,0,14,10,0,0,0,14,0.5833333333333334,68,20,48,0
"Jayson Tatum","BOS",76,2731,667,117.96045404613695,106.11794966011391,1880,0.25,0.4253731343283582,0.378698224852071,0.2457627118644068,49,42,7,19,22,1,1,6,31,0.6326530612244898,75,22,53,1
"Saddiq Bey","DET",82,2704,-499,106.32475534613991,115.72441374295583,1149,0.21465968586387435,0.43,0.2066115702479339,0.26229508196721313,16,16,0,12,4,0,0,0,8,0.5,73,27,46,2
"Tyrese Haliburton","IND",77,2694,-326,112.55881288454579,118.41534008683068,1102,0.2300469483568075,0.38461538461538464,0.3492063492063492,0.2222222222222222,49,33,16,14,13,6,5,11,29,0.5918367346938775,134,25,109,0
"Russell Westbrook","LAL",78,2678,-211,110.43571812802581,114.6508279337653,1331,0.21081081081081082,0.3013698630136986,0.28104575163398693,0.1885245901639344,20,18,2,8,9,1,1,1,11,0.55,75,27,48,0
"Trae Young","ATL",76,2652,159,119.12438175490016,116.74641148325358,2006,0.20053475935828877,0.4166666666666667,0.32727272727272727,0.21100917431192662,7,6,1,3,3,0,0,1,4,0.5714285714285714,72,22,50,0
"Tyrese Maxey","PHI",75,2650,192,115.23141122913506,111.95052331113226,1254,0.16167664670658682,0.3217391304347826,0.2857142857142857,0.15,32,29,3,14,11,4,0,3,16,0.5,55,22,33,0
"Dorian Finney-Smith","DAL",80,2644,241,116.68286992028,112.28070175438597,789,0.20384615384615384,0.41818181818181815,0.37142857142857144,0.2222222222222222,39,39,0,30,9,0,0,0,16,0.41025641025641024,88,28,60,1
"Scottie Barnes","TOR",74,2617,66,112.77874733372116,110.89681774349084,936,0.2578125,0.4827586206896552,0.3693181818181818,0.18571428571428572,55,54,1,33,21,0,0,1,33,0.6,80,26,54,8
"Harrison Barnes","SAC",77,2587,-374,111.89320388349515,118.67660764212489,1148,0.19907407407407407,0.36082474226804123,0.30578512396694213,0.16666666666666666,14,13,1,4,9,0,0,1,6,0.42857142857142855,53,14,39,0
"Pascal Siakam","TOR",68,2578,257,116.03607135855715,111.41282959464777,1378,0.24285714285714285,0.37383177570093457,0.31092436974789917,0.21551724137931033,42,39,3,25,14,0,2,1,24,0.5714285714285714,85,36,49,0
"Julius Randle","NYK",72,2544,-164,109.54616588419405,113.10832025117739,1225,0.19083969465648856,0.38028169014084506,0.2926829268292683,0.2152777777777778,39,38,1,33,3,2,1,0,23,0.5897435897435898,53,17,36,1
"Tobias Harris","PHI",73,2543,171,115.30673019654557,112.11217183770883,1133,0.16470588235294117,0.3564356435643564,0.3062200956937799,0.08888888888888889,43,43,0,21,20,2,0,0,21,0.4883720930232558,47,18,29,1
"Jalen Brunson","DAL",79,2524,231,116.22718052738337,111.9047619047619,1178,0.16556291390728478,0.3125,0.25142857142857145,0.20430107526881722,3,3,0,3,0,0,0,0,2,0.6666666666666666,66,17,49,0
"Buddy Hield","IND",81,2499,-165,113.79310344827587,117.6954732510288,1085,0.2786516853932584,0.37142857142857144,0.4626865671641791,0.17543859649122806,25,22,3,12,10,0,0,3,16,0.64,73,33,40,0
"Nikola Jokic","DEN",74,2476,444,118.89437314906219,110.65264828407062,1720,0.15083798882681565,0.44029850746268656,0.32934131736526945,0.06,63,63,0,27,36,0,0,0,37,0.5873015873015873,109,27,82,0
"Karl-Anthony Towns","MIN",74,2476,275,118.5501066098081,113.37344720496894,1548,0.16587677725118483,0.4189189189189189,0.2827586206896552,0.11864406779661017,83,81,2,43,38,0,1,1,53,0.6385542168674698,72,26,46,6
"Anthony Edwards","MIN",72,2466,188,116.38285378743393,112.41702459976572,1411,0.2612137203166227,0.3087248322147651,0.41346153846153844,0.29411764705882354,46,41,5,25,15,1,3,2,27,0.5869565217391305,105,31,74,2
"Fred VanVleet","TOR",65,2462,212,113.97718011409944,110.26429010448678,1158,0.32266666666666666,0.43859649122807015,0.35294117647058826,0.2840909090909091,35,33,2,11,21,1,0,2,20,0.5714285714285714,111,74,37,0
"Terry Rozier","CHA",73,2458,74,115.49822764868058,113.92878221522723,1245,0.21487603305785125,0.42574257425742573,0.33613445378151263,0.18181818181818182,25,22,3,8,14,0,1,2,10,0.4,93,26,67,0
"Gary Trent Jr.","TOR",70,2448,170,115.59315124337546,112.19661431776463,1174,0.2808641975308642,0.3584905660377358,0.37962962962962965,0.2595419847328244,19,19,0,7,11,1,0,0,9,0.47368421052631576,122,70,52,1
"Darius Garland","CLE",68,2430,376,115.85667215815485,109.01162790697676,1372,0.23220973782771537,0.3944954128440367,0.32432432432432434,0.25287356321839083,7,7,0,3,3,1,0,0,2,0.2857142857142857,89,28,61,0
"Franz Wagner","ORL",79,2429,-246,107.47195512820512,112.60284968894241,1069,0.12352941176470589,0.4240506329113924,0.3273809523809524,0.25,34,34,0,13,17,4,0,0,19,0.5588235294117647,68,28,40,0
"LaMelo Ball","CHA",75,2422,99,115.98200312989046,114.8768472906404,1358,0.18154761904761904,0.3402777777777778,0.3419354838709677,0.171875,30,28,2,9,18,1,2,0,20,0.6666666666666666,119,36,83,0
"James Harden","PHI",65,2420,173,117.47553017944536,113.34685598377283,1317,0.1541095890410959,0.34146341463414637,0.4714285714285714,0.2857142857142857,36,31,5,19,11,1,2,3,16,0.4444444444444444,82,33,49,0
"Nikola Vucevic","CHI",73,2418,-50,112.95431472081218,114.57440293937537,1119,0.14545454545454545,0.2916666666666667,0.2011173184357542,0.10476190476190476,71,69,2,49,19,1,1,1,43,0.6056338028169014,70,14,56,1
"RJ Barrett","NYK",70,2417,-146,110.35123966942149,113.41463414634146,1287,0.23846153846153847,0.3489583333333333,0.4336734693877551,0.1956521739130435,16,16,0,14,2,0,0,0,12,0.75,43,14,29,0
"Royce O'Neale","UTA",77,2406,232,117.61551155115512,112.50514191690662,507,0.31666666666666665,0.5151515151515151,0.6111111111111112,0,32,31,1,19,11,1,0,1,17,0.53125,86,19,67,0
"Keldon Johnson","SAS",75,2392,75,115.19370460048425,113.61161524500906,1124,0.19148936170212766,0.42452830188679247,0.3411764705882353,0.18181818181818182,14,13,1,9,4,0,0,1,10,0.7142857142857143,58,24,34,1
"Aaron Gordon","DEN",75,2376,321,118.8235294117647,113.1321540062435,990,0.15060240963855423,0.5056179775280899,0.29591836734693877,0.13513513513513514,44,42,2,22,17,3,0,2,29,0.6590909090909091,44,13,31,9
"Dejounte Murray","SAS",68,2366,49,114.6609651802077,113.68635437881873,1343,0.21578947368421053,0.3394495412844037,0.3105022831050228,0.2112676056338028,23,21,2,12,9,0,0,2,16,0.6956521739130435,138,49,89,1
"Evan Fournier","NYK",80,2358,-93,111.60733094586054,114.28874284502862,1046,0.20652173913043478,0.45652173913043476,0.3953488372093023,0.23529411764705882,20,20,0,12,7,1,0,0,10,0.5,79,30,49,0
"Patty Mills","BKN",81,2346,117,115.01557632398755,113.9104853960916,824,0.22916666666666666,0.18181818181818182,0.2857142857142857,0.14473684210526316,17,15,2,7,7,1,0,2,9,0.5294117647058824,51,27,24,0
"Devin Booker","PHX",68,2345,469,119.50267159884916,110.09060955518945,1701,0.19434628975265017,0.41935483870967744,0.32558139534883723,0.12903225806451613,26,25,1,10,14,1,0,1,16,0.6153846153846154,77,19,58,2
"Reggie Jackson","LAC",75,2337,-69,110.17811704834607,111.5938957185248,1198,0.14501510574018128,0.3979591836734694,0.432258064516129,0.19014084507042253,15,15,0,8,7,0,0,0,10,0.6666666666666666,55,15,40,0
"Herbert Jones","NOP",78,2335,68,113.97416896040653,112.15446296687065,658,0.26126126126126126,0.3522727272727273,0.4142857142857143,0.25,60,48,12,26,21,1,4,8,36,0.6,130,46,84,2
"Evan Mobley","CLE",69,2331,95,111.3154478580701,109.35469900389779,858,0.24242424242424243,0.43333333333333335,0.2712765957446808,0.2982456140350877,115,113,2,84,26,3,0,2,80,0.6956521739130435,56,21,35,7
"Andrew Wiggins","GSW",73,2330,266,113.31086773378266,107.25671140939598,1114,0.18220338983050846,0.38095238095238093,0.3402777777777778,0.23655913978494625,51,47,4,16,25,6,2,2,33,0.6470588235294118,76,22,54,2
"Kentavious Caldwell-Pope","WAS",77,2329,-229,111.17460317460318,115.94754653130288,926,0.1440329218106996,0.3170731707317073,0.3333333333333333,0.2549019607843137,26,25,1,8,17,0,0,1,13,0.5,83,30,53,0
"Zach LaVine","CHI",67,2328,-26,114.3669686117548,115.084388185654,1538,0.17314487632508835,0.39814814814814814,0.26436781609195403,0.16541353383458646,23,22,1,11,9,2,0,1,13,0.5652173913043478,41,7,34,0
"Alec Burks","NYK",81,2318,125,112.8680479825518,110.23793931456014,848,0.2555066079295154,0.3088235294117647,0.336734693877551,0.2857142857142857,26,24,2,15,8,1,1,1,16,0.6153846153846154,85,23,62,0
"Terance Mann","LAC",81,2317,69,111.03965702036442,109.16275096112773,785,0.1721311475409836,0.4634146341463415,0.2857142857142857,0.22641509433962265,21,20,1,14,6,0,0,1,19,0.9047619047619048,55,21,34,0
"Luka Doncic","DAL",65,2301,146,115.65121412803532,112.35384954776087,1729,0.22816901408450704,0.3333333333333333,0.276,0.23529411764705882,36,31,5,17,14,0,1,4,21,0.5833333333333334,75,20,55,2
"Joel Embiid","PHI",68,2297,368,117.2896174863388,109.77377553261586,1874,0.047619047619047616,0.44,0.1902834008097166,0.10191082802547771,99,95,4,59,35,1,3,1,57,0.5757575757575758,77,20,57,2
"Marcus Smart","BOS",71,2296,442,116.3983687486585,106.95726862787203,779,0.25,0.3148148148148148,0.25252525252525254,0.22727272727272727,18,17,1,9,7,1,1,0,12,0.6666666666666666,119,38,81,1
"Jordan Poole","GSW",76,2283,325,114.56144113231824,108.07841447651874,1317,0.2443820224719101,0.35714285714285715,0.3010752688172043,0.16326530612244897,23,23,0,7,15,1,0,0,14,0.6086956521739131,60,26,34,1
"Will Barton","DEN",71,2276,98,114.17492460146488,112.71939328277357,961,0.15355805243445692,0.5,0.2765957446808511,0.27586206896551724,31,28,3,15,13,0,2,1,16,0.5161290322580645,55,20,35,3
"Desmond Bane","MEM",76,2266,361,117.90562378797674,110.38876889848812,1215,0.26480836236933797,0.44285714285714284,0.45985401459854014,0.2,29,27,2,14,11,2,0,2,14,0.4827586206896552,92,33,59,0
"Donovan Mitchell","UTA",67,2266,276,119.48136848986707,113.56597600872409,1607,0.23357664233576642,0.35789473684210527,0.36627906976744184,0.22727272727272727,12,12,0,6,6,0,0,0,6,0.5,99,27,72,2
"Jonas Valanciunas","NOP",74,2240,67,113.63737983456294,112.76978417266187,1034,0.16,0.3779527559055118,0.25,0.2,60,60,0,32,27,1,0,0,46,0.7666666666666667,41,12,29,0
"Monte Morris","DEN",75,2239,283,118.09355692850838,112.36976280203946,875,0.21390374331550802,0.39215686274509803,0.3283582089552239,0.19101123595505617,14,11,3,3,6,2,1,2,7,0.5,56,19,37,0
"Jaylen Brown","BOS",66,2220,453,115.67314132618888,106.00896860986546,1405,0.2226027397260274,0.46153846153846156,0.2781065088757396,0.1375,18,17,1,8,8,1,0,1,11,0.6111111111111112,70,30,40,1
"Stephen Curry","GSW",64,2211,509,116.02886507762958,105.89403973509934,1484,0.22271714922049,0.2911392405063291,0.358974358974359,0.28125,23,21,2,4,16,1,0,2,11,0.4782608695652174,85,37,48,0
"Jrue Holiday","MIL",67,2208,426,120.73571272169914,111.43232588699081,1132,0.23243243243243245,0.3163265306122449,0.30656934306569344,0.1875,29,27,2,9,14,4,0,2,16,0.5517241379310345,108,52,56,0
"Giannis Antetokounmpo","MIL",67,2204,397,119.07752273711563,110.76856274424662,1789,0.2564102564102564,0.3358208955223881,0.27710843373493976,0.21951219512195122,91,90,1,58,28,4,0,1,62,0.6813186813186813,72,28,44,6
"Kyle Kuzma","WAS",66,2204,-281,110.62584421431787,116.32333184057323,1018,0.1375,0.3559322033898305,0.3013698630136986,0.07017543859649122,57,54,3,25,28,1,1,2,23,0.40350877192982454,42,13,29,4
"Derrick White","BOS",75,2199,202,113.8399821707154,109.02222222222223,923,0.196,0.4857142857142857,0.25961538461538464,0.21212121212121213,58,56,2,24,30,2,1,1,32,0.5517241379310345,64,29,35,0
"Kevin Huerter","ATL",74,2188,169,118.48964134551125,114.95535714285715,811,0.20080321285140562,0.34210526315789475,0.35714285714285715,0.10256410256410256,26,23,3,8,13,2,2,1,14,0.5384615384615384,55,14,41,1
"Devonte' Graham","NOP",76,2162,40,113.8302752293578,113.22447102115916,798,0.2742382271468144,0.5151515151515151,0.3469387755102041,0.25396825396825395,12,12,0,3,9,0,0,0,7,0.5833333333333334,71,24,47,0
"Tyler Herro","MIA",66,2151,240,115.95249184909176,110.1580660158066,1248,0.296,0.43243243243243246,0.28160919540229884,0.24509803921568626,8,8,0,4,4,0,0,0,7,0.875,44,10,34,2
"CJ McCollum","NOP",62,2145,-69,114.94916820702403,116.03404646882908,1258,0.23591549295774647,0.40298507462686567,0.40372670807453415,0.23853211009174313,22,22,0,11,9,2,0,0,14,0.6363636363636364,70,29,41,0
"Khris Middleton","MIL",66,2141,302,117.62358678785192,112.17215870880969,1223,0.20075757575757575,0.4772727272727273,0.30656934306569344,0.19090909090909092,18,18,0,10,7,1,0,0,13,0.7222222222222222,76,25,51,1
"Jordan Clarkson","UTA",79,2141,383,118.08238305794741,109.2454587796926,1157,0.24552429667519182,0.3384615384615385,0.4166666666666667,0.47058823529411764,16,15,1,7,8,0,0,1,9,0.5625,66,25,41,0
