"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Mikal Bridges","PHX",82,2854,5859,1162,343,546,0.6282051282051282,115,312,0.3685897435897436,0.3685897435897436,131,524,162,339,6,0.7638483965014577,0.793939393939394,0.9826086956521739,0.36363636363636365,0.5334099067599067,0.6008158508158508,0.6301518438177874,26,25,0.045787545787545784,4,0.01282051282051282,15.237802062490381
"Miles Bridges","CHA",80,2837,5869,1613,442,749,0.5901201602136181,154,465,0.3311827956989247,0.33624454148471616,267,528,356,381,81,0.5972850678733032,0.6197183098591549,0.8246753246753247,0.3830313014827018,0.549024087893864,0.5543657331136738,0.5932203389830508,32,59,0.0787716955941255,3,0.0064516129032258064,22.867981790591802
"DeMar DeRozan","CHI",76,2743,5581,2118,724,1393,0.5197415649676956,50,142,0.352112676056338,0.36231884057971014,520,314,1134,135,15,0.21685082872928177,0.22019635343618513,0.9,0.09250814332247558,0.4695365359477124,0.5205211726384364,0.5898876404494382,22,83,0.05958363244795405,1,0.007042253521126761,31.674208144796378
"Jayson Tatum","BOS",76,2731,5462,2046,478,913,0.5235487404162102,230,651,0.3533026113671275,0.3543913713405239,400,410,546,390,300,0.42887029288702927,0.44956140350877194,0.5652173913043478,0.4162404092071611,0.5143451602564103,0.5262148337595908,0.5746438746438747,44,80,0.08762322015334063,3,0.004608294930875576,32.04815357084757
"Saddiq Bey","DET",82,2704,5518,1321,239,526,0.4543726235741445,211,610,0.34590163934426227,0.35108153078202997,210,206,272,564,69,0.4309623430962343,0.4790697674418605,0.8909952606635071,0.5369718309859155,0.5195373777777778,0.48899647887323944,0.5293172690763053,48,48,0.09125475285171103,4,0.006557377049180328,21.27659574468085
"Tyrese Haliburton","IND",77,2694,5526,1181,269,520,0.5173076923076924,161,389,0.4138817480719794,0.4236842105263158,160,150,388,282,201,0.2788104089219331,0.28957528957528955,0.5838509316770186,0.42794279427942794,0.4995339464882943,0.5616061606160616,0.5931174089068826,20,35,0.0673076923076923,2,0.005141388174807198,18.870326173428797
"Russell Westbrook","LAL",78,2678,5577,1441,469,968,0.484504132231405,79,265,0.2981132075471698,0.2981132075471698,266,218,720,153,84,0.232409381663113,0.23903508771929824,0.6455696202531646,0.21492295214922952,0.5141000405515004,0.4764801297648013,0.509915014164306,26,81,0.08367768595041322,1,0.0037735849056603774,27.2945314998401
"Trae Young","ATL",76,2652,5459,2155,478,934,0.5117773019271948,233,610,0.3819672131147541,0.3825944170771757,500,136,820,156,543,0.14225941422594143,0.14468085106382977,0.22317596566523606,0.3950777202072539,0.5033287171052632,0.5359455958549223,0.5974244120940649,16,84,0.08993576017130621,9,0.014754098360655738,33.91290217744557
"Tyrese Maxey","PHI",75,2650,5272,1311,351,686,0.5116618075801749,132,309,0.42718446601941745,0.43137254901960786,213,316,386,282,114,0.45014245014245013,0.4540229885057471,0.7121212121212122,0.31055276381909547,0.5138694135490395,0.5517587939698493,0.5952380952380952,6,52,0.07580174927113703,2,0.006472491909385114,20.323802962452636
"Dorian Finney-Smith","DAL",80,2644,5143,880,154,257,0.5992217898832685,172,435,0.3954022988505747,0.3972286374133949,56,236,72,507,9,0.7662337662337663,0.855072463768116,0.9825581395348837,0.6286127167630058,0.5727108695652174,0.5953757225433526,0.6027397260273972,32,21,0.08171206225680934,3,0.006896551724137931,14.047866805411031
