"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"LeBron James","CLE",82,3026,348,213,135,0.6120689655172413,60,20,153,65,11,0,3,0
"Khris Middleton","MIL",82,2982,191,117,74,0.612565445026178,40,10,77,27,13,0,4,0
"Andrew Wiggins","MIN",82,2979,138,84,54,0.6086956521739131,46,5,38,12,13,0,5,0
"Bradley Beal","WAS",82,2977,214,144,70,0.6728971962616822,56,22,88,26,6,0,5,0
"Jrue Holiday","NOP",81,2927,213,134,79,0.6291079812206573,35,20,99,33,10,0,2,0
"CJ McCollum","POR",81,2923,151,95,56,0.6291390728476821,43,14,52,18,6,0,6,0
"Karl-Anthony Towns","MIN",82,2918,159,56,103,0.3522012578616352,27,6,29,24,14,7,0,4
"Russell Westbrook","OKC",80,2914,381,263,118,0.6902887139107612,70,31,193,51,11,0,6,0
"Paul George","OKC",79,2891,212,122,90,0.5754716981132075,40,15,82,36,7,0,1,0
"Giannis Antetokounmpo","MIL",75,2756,223,106,117,0.47533632286995514,58,13,48,31,15,3,6,2
"Kemba Walker","CHA",80,2736,179,122,57,0.6815642458100558,33,11,89,33,5,0,4,0
"Ben Simmons","PHI",81,2732,277,154,123,0.555956678700361,39,12,115,52,21,2,2,2
"Anthony Davis","NOP",75,2727,161,84,77,0.5217391304347826,52,17,32,17,11,6,3,3
"Taj Gibson","MIN",82,2727,89,46,43,0.5168539325842697,30,4,16,6,10,6,3,0
"DeMar DeRozan","TOR",80,2712,175,113,62,0.6457142857142857,46,17,67,15,10,0,6,0
"Josh Richardson","MIA",81,2689,140,84,56,0.6,29,12,55,10,11,0,7,0
"Will Barton","DEN",81,2683,149,82,67,0.5503355704697986,36,13,46,17,14,0,2,0
"Damian Lillard","POR",73,2670,206,145,61,0.7038834951456311,43,11,102,33,7,0,4,0
"Tobias Harris","LAC",80,2668,105,54,51,0.5142857142857142,20,10,34,14,8,0,0,0
"Donovan Mitchell","UTA",79,2638,216,142,74,0.6574074074074074,67,8,75,25,20,0,4,0
"Harrison Barnes","DAL",77,2634,118,76,42,0.6440677966101694,35,11,41,11,7,0,1,0
"Andre Drummond","DET",78,2625,199,102,97,0.5125628140703518,43,12,59,24,8,8,2,6
"Thaddeus Young","IND",81,2607,104,63,41,0.6057692307692307,20,8,43,14,8,0,0,1
"Lou Williams","LAC",79,2589,234,170,64,0.7264957264957265,31,12,139,31,6,0,2,0
"E'Twaun Moore","NOP",82,2586,102,58,44,0.5686274509803921,27,12,31,9,13,0,1,0
